Jugador;Minutos;Puntos;Triples;Rebotes;Asistencias;Perdidas;Robos;Tapones
Vince Williams Jr.;104.6;30;4;15;4;5;6;2
Greg Brown III;93.1;28;1;19;3;6;4;5
Jordan Hall;82.7;28;3;12;11;7;1;0
Joshua Primo;93.4;28;3;13;18;11;1;2
Udonis Haslem;72.1;27;3;11;0;1;1;2
Ryan Arcidiacono;172.4;26;8;15;23;7;5;0
Mac McClung;41.1;25;4;10;9;3;0;0
Noah Vonleh;171.6;25;1;48;7;11;2;8
Sam Merrill;58.5;25;5;9;5;0;4;0
Gabe York;55.8;24;6;6;5;0;2;0
Keon Ellis;70.9;24;6;8;6;1;5;1
Micah Potter;52.4;24;4;16;4;2;1;0
Ryan Rollins;62.1;23;3;12;6;16;1;1
Jarrell Brantley;39;22;4;6;3;2;0;2
PJ Dozier;79.3;22;2;14;10;5;6;1
Jack White;66;21;3;17;4;2;3;2
Trevelin Queen;70;21;2;17;6;7;2;5
Tyrese Martin;65.5;21;1;12;2;2;1;0
Carlik Jones;56;20;3;5;6;2;2;0
Justin Jackson;107.4;20;5;17;9;2;4;4
Louis King;28.8;20;4;4;2;2;1;0
Ron Harper Jr.;47.5;20;3;7;4;0;0;1
JD Davison;65.7;19;2;9;11;4;2;2
Tony Bradley;33.4;19;3;11;1;1;1;1
Andre Iguodala;112.6;17;1;17;19;9;4;3
Justin Minaya;88.8;17;3;15;4;4;2;5
Michael Carter-Williams;44.5;17;1;5;7;4;1;1
Xavier Sneed;48.2;17;3;5;5;3;0;1
